Title,bpm,energy,danceability,dB,liveness
Down In the DM (feat. Nicki Minaj) - Remix,152.961,0.634,0.791,-7.684,0.0812
LUV,190.169,0.528,0.539,-8.113,0.117
Sorry,129.988,0.598,0.775,-7.274,0.253
Can't Feel My Face,107.949,0.769,0.705,-5.526,0.105
Hymn for the Weekend,89.974,0.743,0.49,-5.155,0.3
Say It,107.331,0.529,0.546,-10.511,0.124
Antidote,131.05,0.526,0.713,-5.046,0.124
Lost Boy,123.994,0.0565,0.71,-15.099,0.0889
Side To Side,159.173,0.736,0.65,-5.84,0.235
"Sit Still, Look Pretty",182.105,0.74,0.655,-4.081,0.106
Wildest Dreams,140.06,0.664,0.553,-7.417,0.106
Middle,104.879,0.695,0.583,-5.336,0.0527
Passionfruit,111.98,0.463,0.809,-11.377,0.109
LOYALTY. FEAT. RIHANNA.,110.684,0.535,0.658,-8.983,0.2
Praying,73.433,0.39,0.576,-7.202,0.111
goosebumps,130.049,0.728,0.841,-3.37,0.149
Cold (feat. Future),99.836,0.717,0.693,-6.346,0.0464
Broccoli,145.99,0.525,0.886,-7.39,0.057
Slide (feat. Frank Ocean & Migos),104.066,0.795,0.736,-3.299,0.254
What Ifs (feat. Lauren Alaina),125.976,0.799,0.612,-4.603,0.172
Chained To The Rhythm,189.89,0.8,0.446,-5.404,0.199
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",101.018,0.745,0.893,-3.105,0.0943
All Time Low,90.246,0.567,0.617,-4.188,0.0933
Hurricane,75.975,0.813,0.464,-6.185,0.254
Too Good At Goodbyes,91.873,0.372,0.681,-8.237,0.169
Young Dumb & Broke,136.949,0.539,0.798,-6.351,0.165
Magnolia,162.99,0.581,0.791,-7.323,0.35
Love Galore (feat. Travis Scott),135.002,0.594,0.795,-6.2,0.162
How Long,109.974,0.561,0.845,-5.253,0.0383
Lights Down Low,81.059,0.571,0.622,-5.338,0.122
One Kiss (with Dua Lipa),123.994,0.862,0.791,-3.24,0.0814
Natural,100,0.611,0.704,-6.112,0.0812
You Make It Easy,132.025,0.574,0.375,-5.305,0.11
Shape of You,95.977,0.652,0.825,-3.183,0.0931
I Get the Bag (feat. Migos),139.948,0.633,0.89,-5.475,0.0993
No Brainer,135.702,0.76,0.552,-4.706,0.0865
Plain Jane,170.142,0.844,0.797,-5.482,0.087
Sky Walker (feat. Travis Scott),145.965,0.506,0.674,-10.532,0.0866
Marry Me,85.028,0.412,0.333,-8.633,0.113
Eastside (with Halsey & Khalid),89.391,0.68,0.56,-7.648,0.116
Call Out My Name,134.17,0.593,0.461,-4.954,0.307
"King's Dead (with Kendrick Lamar, Future & James Blake)",137.133,0.705,0.645,-5.008,0.128
Happier,100.015,0.792,0.687,-2.749,0.167
Con Calma,93.989,0.86,0.737,-2.652,0.0574
Murder On My Mind,115.007,0.73,0.759,-7.985,0.11
when the party's over,82.642,0.111,0.367,-14.084,0.0897
Act Up,97.075,0.638,0.938,-4.713,0.111
I Like It,136.048,0.726,0.816,-3.998,0.372
Trampoline,126.754,0.412,0.689,-7.523,0.0659
Leave Me Alone,150.024,0.743,0.792,-2.806,0.183
breathin,100.049,0.656,0.568,-5.413,0.213
bury a friend,120.046,0.389,0.905,-14.505,0.106
Close Friends (Lil Baby & Gunna),158.896,0.578,0.676,-4.669,0.0796
Baby Shark,115.056,0.886,0.829,-1.746,0.0559
My Type,105.038,0.811,0.899,-6.294,0.0672
Worth It,124.008,0.535,0.749,-4.054,0.0942
Only Human,94.01,0.496,0.795,-5.883,0.0645
Knockin' Boots,131.983,0.682,0.739,-3.728,0.328
Trip,79.882,0.61,0.477,-5.628,0.107
