title,artist,top genre,bpm,nrgy,dnce,dB,live,val,acous,spch
22,Taylor Swift,dance pop,104.007,0.729,0.658,-6.561,0.0752,0.668,0.00215,0.0378
I Want Crazy - Encore,Hunter Hayes,contemporary country,103.029,0.878,0.562,-4.806,0.112,0.558,0.0539,0.0387
The Fox (What Does the Fox Say?),Ylvis,comic,128.008,0.867,0.703,-4.292,0.119,0.546,0.107,0.0453
Best Song Ever,One Direction,boy band,118.491,0.877,0.652,-2.986,0.0789,0.486,0.0227,0.0465
The A Team,Ed Sheeran,pop,84.996,0.289,0.642,-9.918,0.18,0.407,0.669,0.0367
Carry On,fun.,baroque pop,145.434,0.694,0.388,-5.769,0.082,0.365,0.118,0.0735
Highway Don't Care,Tim McGraw,contemporary country,158.061,0.79,0.47,-5.352,0.0863,0.495,0.0216,0.039
That's My Kind Of Night,Luke Bryan,contemporary country,109.995,0.751,0.661,-2.909,0.105,0.875,0.0571,0.0481
Sure Be Cool If You Did,Blake Shelton,contemporary country,136.802,0.726,0.576,-4.625,0.108,0.582,0.255,0.035
Swimming Pools (Drank),Kendrick Lamar,conscious hip hop,74.236,0.447,0.577,-5.892,0.0899,0.189,0.00627,0.277
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,101.013,0.595,0.742,-7.51,0.111,0.431,0.15,0.107
Dirt,Florida Georgia Line,contemporary country,121.973,0.878,0.547,-4.224,0.106,0.592,0.0638,0.0451
Love Runs Out,OneRepublic,dance pop,120.022,0.935,0.719,-3.752,0.0973,0.738,0.167,0.0589
Bottoms Up,Brantley Gilbert,contemporary country,170.006,0.857,0.474,-5.734,0.134,0.545,0.113,0.0435
Shower,Becky G,latin,119.987,0.529,0.699,-7.548,0.285,0.121,0.0317,0.0487
Me And My Broken Heart,Rixton,dance pop,174.084,0.783,0.545,-4.261,0.132,0.551,0.00489,0.0345
Animals,Martin Garrix,big room,128.007,0.868,0.675,-6.36,0.374,0.0376,0.00107,0.0392
Lifestyle,Rich Gang,rap,87.666,0.667,0.546,-5.236,0.0895,0.471,0.0152,0.274
American Kids,Kenny Chesney,contemporary country,170.097,0.589,0.733,-7.37,0.0366,0.867,0.0476,0.1
Brave,Sara Bareilles,acoustic pop,185.063,0.836,0.551,-3.838,0.0425,0.758,0.00502,0.0524
Sweater Weather,The Neighbourhood,modern alternative rock,124.053,0.807,0.612,-2.81,0.101,0.398,0.0495,0.0336
Leave The Night On,Sam Hunt,contemporary country,171.96,0.951,0.514,-3.813,0.349,0.838,0.0951,0.0603
New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,141.967,0.629,0.702,-4.292,0.0963,0.446,0.0506,0.041
Love Never Felt So Good,Michael Jackson,pop,117.513,0.719,0.775,-6.212,0.0662,0.712,0.132,0.0435
Drunk On A Plane,Dierks Bentley,contemporary country,205.972,0.73,0.423,-5.566,0.238,0.66,0.00495,0.032
Birthday,Katy Perry,dance pop,125.98,0.674,0.719,-5.122,0.112,0.843,0.0879,0.0681
Drag Me Down,One Direction,boy band,138.113,0.703,0.73,-5.672,0.0657,0.595,0.109,0.0369
Truffle Butter,Nicki Minaj,dance pop,105.113,0.673,0.887,-6.846,0.124,0.491,0.0743,0.0503
One Last Time,Ariana Grande,dance pop,125.026,0.593,0.628,-5.036,0.096,0.104,0.093,0.0323
Chains,Nick Jonas,dance pop,76.006,0.611,0.589,-5.881,0.0757,0.121,0.0151,0.0459
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,77.521,0.658,0.589,-5.288,0.118,0.251,0.0242,0.203
No Type,Rae Sremmurd,hip hop,125.01,0.486,0.891,-7.803,0.0925,0.239,0.0158,0.159
Riptide,Vance Joy,folk-pop,101.654,0.731,0.484,-6.694,0.151,0.51,0.431,0.0379
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,94.072,0.585,0.79,-6.058,0.292,0.585,0.185,0.0348
Ex's & Oh's,Elle King,,139.986,0.921,0.612,-2.879,0.0576,0.453,0.0183,0.0848
Dear Future Husband,Meghan Trainor,dance pop,79.427,0.782,0.655,-4.789,0.317,0.832,0.375,0.185
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,dance pop,110.015,0.616,0.795,-5.281,0.349,0.815,0.417,0.06
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,108.038,0.53,0.63,-7.259,0.177,0.417,0.4,0.0434
Habits (Stay High),Tove Lo,dance pop,110.02,0.65,0.729,-3.539,0.0829,0.347,0.0702,0.0313
The Hanging Tree,James Newton Howard,scorecore,53.863,0.0743,0.213,-18.071,0.212,0.145,0.344,0.0408
CoCo,O.T. Genasis,gangster rap,119.906,0.628,0.886,-5.949,0.31,0.178,0.00215,0.131
Bang Bang,Jessie J,dance pop,150.028,0.786,0.706,-3.417,0.38,0.751,0.26,0.091
White Iverson,Post Malone,dfw rap,130.098,0.562,0.675,-7.678,0.0816,0.309,0.233,0.0352
Close,Nick Jonas,dance pop,123.996,0.623,0.654,-5.273,0.144,0.401,0.253,0.082
Unsteady,X Ambassadors,modern alternative rock,117.055,0.665,0.389,-6.169,0.116,0.199,0.178,0.0644
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,169.021,0.786,0.502,-4.378,0.65,0.739,0.255,0.317
Down In the DM (feat. Nicki Minaj) - Remix,Yo Gotti,dirty south rap,152.961,0.634,0.791,-7.684,0.0812,0.323,0.00243,0.0639
LUV,Tory Lanez,canadian hip hop,190.169,0.528,0.539,-8.113,0.117,0.252,0.0108,0.252
Sorry,Beyoncé,dance pop,129.988,0.598,0.775,-7.274,0.253,0.356,0.00175,0.0535
Can't Feel My Face,The Weeknd,canadian contemporary r&b,107.949,0.769,0.705,-5.526,0.105,0.583,0.113,0.0425
Hymn for the Weekend,Coldplay,permanent wave,89.974,0.743,0.49,-5.155,0.3,0.363,0.255,0.0409
Say It,Tory Lanez,canadian hip hop,107.331,0.529,0.546,-10.511,0.124,0.247,0.0862,0.0583
Antidote,Travis Scott,rap,131.05,0.526,0.713,-5.046,0.124,0.131,0.00767,0.032
Lost Boy,Ruth B.,canadian pop,123.994,0.0565,0.71,-15.099,0.0889,0.348,0.965,0.0534
Side To Side,Ariana Grande,dance pop,159.173,0.736,0.65,-5.84,0.235,0.613,0.0528,0.229
"Sit Still, Look Pretty",Daya,dance pop,182.105,0.74,0.655,-4.081,0.106,0.543,0.14,0.274
Wildest Dreams,Taylor Swift,dance pop,140.06,0.664,0.553,-7.417,0.106,0.467,0.0709,0.0741
Middle,DJ Snake,dance pop,104.879,0.695,0.583,-5.336,0.0527,0.224,0.0141,0.0423
